cluster_131	4	ANKRD32	FAM178A	NSMCE4A	SMC5
cluster_132	4	ANO4	OSGEP	TP53RK	TPRKB
cluster_133	4	AP1B1	AP1G1	AP1S2	PPP6R2
cluster_134	4	AP4B1	AP4E1	AP4S1	DISC1
cluster_135	4	APLF	LIG3	POLB	TDP1
cluster_136	4	ARHGEF6	ARHGEF7	GIT1	GIT2
cluster_137	4	ARHGEF6	ARHGEF7	GIT1	MED4
cluster_138	4	ARHGEF6	GIT1	GIT2	RABGGTB
cluster_139	4	ARHGEF7	CAMK4	GIT1	GIT2
cluster_140	4	ARHGEF7	CENPQ	GIT1	GIT2
cluster_141	4	ARHGEF7	EXOC1	GIT1	GIT2
cluster_142	4	ARHGEF7	GIT1	GIT2	ZNHIT1
cluster_143	4	ARIH1	KCTD10	KCTD13	TNFAIP1
cluster_144	4	ARL6IP4	PIP4K2A	PIP4K2B	PIP4K2C
cluster_145	4	ARNTL	ARNTL2	CLOCK	NPAS2
cluster_146	4	ARRDC1	RCOR1	RCOR3	ZMYM2
cluster_147	4	ASB6	E2F6	L3MBTL2	MGA
cluster_148	4	ASCC2	ASCC3	NOG	TRIP4
cluster_149	4	ASH1L	KDM5C	MORF4L1	MORF4L2
cluster_150	4	ASH2L	HCFC2	RBBP5	WDR5
cluster_151	4	ATF7	BACH1	BATF3	CREB5
cluster_152	4	ATG4C	PIP4K2A	PIP4K2B	PIP4K2C
cluster_153	4	ATP6V0A1	ATP6V0A2	ATP6V0D2	GPRC5D
cluster_154	4	ATP6V0A1	ATP6V0A2	ATP6V0D2	PPAPDC1A
cluster_155	4	ATP6V0A1	ATP6V0A2	HBXIP	LAMTOR1
cluster_156	4	ATP6V1B1	ATP6V1B2	ATP6V1C2	ATP6V1G1
cluster_157	4	ATP6V1B2	ATP6V1D	ATP6V1G1	TBC1D24
cluster_158	4	ATXN7L3	FAM48A	TAF12	USP22
cluster_159	4	BCR	CSNK2A1	CSNK2A2	CSNK2B
cluster_160	4	BCR	YWHAB	YWHAG	YWHAH
cluster_161	4	BNIP1	CCDC107	STX18	STX5
cluster_162	4	BNIP1	NBAS	STX18	TEX28
cluster_163	4	BRD8	C20orf20	MORF4L1	S100A2
cluster_164	4	BUB1	BUB1B	BUB3	CDC20
cluster_165	4	C10orf2	FAM120A	HNRNPC	PABPC5
cluster_166	4	C11orf49	C19orf20	EIF3F	LRRC49
cluster_167	4	C14orf118	CSNK2A1	CSNK2A2	CSNK2B
cluster_168	4	C15orf23	DYNLL1	DYNLL2	SPAG5
cluster_169	4	C15orf24	COX4NB	SLC18A1	TMEM85
cluster_170	4	C15orf24	SCN4A	TMEM111	TMEM85
cluster_171	4	C15orf59	MED28	MED30	MED4
cluster_172	4	C17orf59	CYTB	UQCRH	UQCRQ
cluster_173	4	C17orf71	C19orf20	LRRC49	NICN1
cluster_174	4	C18orf25	CSNK2A1	CSNK2A2	CSNK2B
cluster_175	4	C19orf21	RPS6KA1	RPS6KA2	RPS6KA3
cluster_176	4	C19orf50	VPS26A	VPS26B	VPS35
cluster_177	4	C1orf85	TUBB	TUBB2A	TUBB2C
cluster_178	4	C20orf7	NDUFAF4	NDUFS3	NDUFS7
cluster_179	4	C3AR1	NDUFB3	NDUFB5	NDUFC2
cluster_180	4	C4orf19	PDCD10	STK24	STK25
cluster_181	4	C6orf222	YWHAE	YWHAG	YWHAZ
cluster_182	4	CAB39	CAB39L	STK11	STRADA
cluster_183	4	CAMK2A	CAMK2B	CAMK2D	CAMK2G
cluster_184	4	CAMK2B	CAMK2D	CAMK2G	DNAL4
cluster_185	4	CAMK2B	CAMK2D	CAMK2G	FAM163B
cluster_186	4	CAMK2B	CAMK2D	CAMK2G	KIAA1383
cluster_187	4	CAMK2B	CAMK2D	CAMK2G	MAGEA9
cluster_188	4	CAMK2B	CAMK2D	CAMK2G	MCM5
cluster_189	4	CAMK2B	CAMK2D	CAMK2G	NR3C1
cluster_190	4	CAMK2B	CAMK2D	CAMK2G	RBM42
cluster_191	4	CAMK2B	CAMK2D	CAMK2G	SHISA6
cluster_192	4	CAMKK2	PRKAA2	PRKAB1	PRKAG1
cluster_193	4	CAPZA1	CAPZA2	CAPZB	CCDC53
cluster_194	4	CAPZA1	CAPZA2	CAPZB	KIAA0802
cluster_195	4	CAPZA1	CAPZA2	CAPZB	KIAA1671
cluster_196	4	CAPZA1	CAPZA2	CAPZB	PLEKHO1
cluster_197	4	CAPZA1	CAPZA2	CAPZB	PLEKHO2
cluster_198	4	CAPZA1	CAPZA2	CAPZB	RCSD1
cluster_199	4	CAPZA1	CAPZA2	CAPZB	SVIL
cluster_200	4	CASQ2	GTF3C1	GTF3C2	GTF3C3
cluster_201	4	CBFB	FBXW12	RUNX1	RUNX2
cluster_202	4	CBX3	DSN1	MIS12	PMF1
cluster_203	4	CBX6	PCDHGB2	PCDHGB4	PCDHGB5
cluster_204	4	CCDC114	COG1	COG5	COG6
cluster_205	4	CCDC132	TSSC1	VPS53	VPS54
cluster_206	4	CCDC22	COMMD2	COMMD3	SULF2
cluster_207	4	CCDC6	PPP4R2	SMEK1	SMEK2
cluster_208	4	CCDC6	YWHAB	YWHAG	YWHAH
cluster_209	4	CCDC88A	YWHAB	YWHAG	YWHAH
cluster_210	4	CCNA2	CDK2	CKS1B	SMTNL2
cluster_211	4	CCNB2	CDK1	CDK17	CDKN1B
cluster_212	4	CCNB2	CDK1	CKS2	PKMYT1
cluster_213	4	CCNC	CDK19	CDK8	DNAJC12
cluster_214	4	CCNC	CDK19	CDK8	PBXIP1
cluster_215	4	CCNH	CDK7	ERCC2	MNAT1
cluster_216	4	CCT2	CCT3	CCT5	HDAC3
cluster_217	4	CCT2	CCT3	CCT7	GNB1L
cluster_218	4	CCT2	CCT3	CCT7	PPP2R2C
cluster_219	4	CCT2	CCT3	JMJD4	PDCL3
cluster_220	4	CCT2	CCT5	CCT7	RFWD3
cluster_221	4	CD6	CIRH1A	WDR43	WDR75
cluster_222	4	CD97	ND5	NDUFB3	NDUFB8
cluster_223	4	CDC37	RPS6KA1	RPS6KA2	RPS6KA3
cluster_224	4	CDC73	LEO1	PAF1	TULP2
cluster_225	4	CENPL	PRKRA	RPL13	RPLP0
cluster_226	4	CENPO	CENPP	CENPQ	ITGB3BP
cluster_227	4	CENPO	CENPP	ITGB3BP	MLF1IP
cluster_228	4	CERKL	EIF3B	EIF3G	EIF3I
cluster_229	4	CHUK	IKBKB	IKBKG	MAP3K14
cluster_230	4	CHUK	IKBKB	IKBKG	MRFAP1L1
cluster_231	4	CHUK	IKBKB	IKBKG	PSG1
cluster_232	4	CIRH1A	MAD2L1	NOL11	WDR43
cluster_233	4	COBLL1	PACSIN1	PACSIN2	PACSIN3
cluster_234	4	COBRA1	FECH	RDBP	TH1L
cluster_235	4	COG1	COG5	COG6	COG8
cluster_236	4	COG1	COG5	COG6	PARP16
cluster_237	4	COG2	COG6	COG7	DUSP16
cluster_238	4	COMMD1	COMMD4	COMMD6	COMMD9
cluster_239	4	COMMD4	COMMD6	E2F6	TFDP1
cluster_240	4	COPS2	COPS6	COPS7B	KLHDC3
cluster_241	4	COPS4	COPS5	COPS6	DENR
cluster_242	4	CORO1A	CORO1B	CORO1C	CORO6
cluster_243	4	COX7A2L	NAT8B	UQCRB	UQCRQ
cluster_244	4	CPNE4	GTF3C1	GTF3C2	GTF3C3
cluster_245	4	CPNE5	DTNB	SNTB2	UTRN
cluster_246	4	CPSF6	FAM168A	WWP1	WWP2
cluster_247	4	CRAMP1L	PPP4R2	SMEK1	SMEK2
cluster_248	4	CRNKL1	DNAJC17	ISY1	SYF2
cluster_249	4	CRY1	CRY2	CSNK1D	CSNK1E
cluster_250	4	CSNK2A1	CSNK2A2	CSNK2B	DCAF7
cluster_251	4	CSNK2A1	CSNK2A2	CSNK2B	HDGFRP2
cluster_252	4	CSNK2A1	CSNK2A2	CSNK2B	NKAP
cluster_253	4	CSNK2A1	CSNK2A2	CSNK2B	TFPT
cluster_254	4	CSNK2A1	CSNK2A2	CSNK2B	TSPYL2
cluster_255	4	CSNK2B	RPS6KA1	RPS6KA2	RPS6KA3
cluster_256	4	CSRP2BP	MBIP	MYF6	YEATS2
cluster_257	4	CSRP2BP	MBIP	PSME1	YEATS2
cluster_258	4	CT45A5	PPP4R2	SMEK1	SMEK2
cluster_259	4	CTDP1	POLR2G	POLR2L	RPRD1B
cluster_260	4	CUL3	KCTD10	KCTD13	TNFAIP1
cluster_261	4	CUL4A	CUL4B	DDB2	RBX1
cluster_262	4	CUL4A	CUL4B	DDB2	RNF7
cluster_263	4	CUL4B	ERCC8	GPS1	MYEOV2
cluster_264	4	DAB2IP	YWHAB	YWHAG	YWHAH
cluster_265	4	DCP1A	DCP2	EDC3	PNRC2
cluster_266	4	DDAH2	EPB41L1	EPB41L2	EPB41L3
